id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
496,9.00E+15,1,96021,76101,49926,2.5,4.65,0.71,0,383924.65,147469.53,383728.73,149574.3,4.62,4.62,0,846,746,11.05
503,9.00E+15,1,71061,92071,70209,5.2,19.28,0.91,0,377063.43,148027.46,379269.1,144473.93,6.50,6.50,0,865,765,11.05
505,2.00E+15,2,58321,58299,63435,1.5,3.53,0.36,0,368297.19,160326.41,368694.21,159848.08,5.87,5.87,0,658,459,11.05
507,9.00E+15,1,57139,59073,72159,2,8.48,0.71,0,369345.14,158965.4,370442.91,157932.86,6.68,6.68,0,866,767,11.05
508,2.00E+15,2,75009,64339,63833,11.2,42.07,0.58,0,382488.05,149744.73,376176.92,151605.3,5.91,5.91,1,660,460,11.05
509,2.00E+15,2,58321,58299,48243,1.5,4.47,0.36,0,368297.19,160326.41,368694.21,159848.08,4.47,4.47,0,644,445,11.05
510,9.00E+15,1,65221,65179,51513,2.5,6.4,0.71,0,378191.22,155195.96,378946.34,154132.01,4.77,4.77,0,847,748,11.05
511,9.00E+15,1,54219,7539,42509,9.7,34.8,1.25,0,370602.17,151324.21,372296.4,144215.42,3.94,3.94,1,840,740,11.05
516,2.00E+15,2,46009,46069,67764,3.4,12.78,0.41,0,364917.56,158848.76,363090.03,159515.24,6.27,6.28,0,662,463,11.05
536,9.00E+15,1,46191,46821,66509,4.2,23.55,0.71,0,364318.84,159176.47,366224.49,159440.08,6.16,6.16,0,861,762,11.05
548,8.89E+15,1,60119,1059,35682,2.7,15.32,0.71,0,373630.35,145790.28,372752.03,143825.23,3.30,3.31,0,833,733,11.05
551,9.00E+15,1,13141,53379,68824,8.7,39.88,1.21,0,369828.26,143438.21,371367.7,150381.8,6.37,6.38,1,864,765,11.05
552,2.00E+15,2,22231,27401,24474,1.6,11.05,0.36,0,355068.6,148237.88,354725.92,148956.15,2.27,2.27,0,622,423,11.05
